+---------------------+---------+----------+-------------+---------+----------+-----------------------+-----------------+------------------------------------------+
| first_seen          | contact | nickname | tor_version | or_port | dir_port | as_name               | IP              | fingerprint                              |
| 2020-05-22 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.124.121   | 3CAAF8D7CF34FF3962CA73A41B53266BDB37DE5A |
| 2020-05-22 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.186.98  | 262E032269CD1FC56B8BBCBD084820BA76CCE675 |
| 2020-05-22 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.3.37    | 916BE57F7F1C4171E5F3D8957B8189FF11B4B45F |
| 2020-05-22 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 23.92.31.250    | 867F1AAD62C3E5D58B13163106D02E0E9357012C |
| 2020-05-22 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 66.175.222.206  | D2A056E6321962BD77763FE269E26400A58278F2 |
| 2020-05-22 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 139.162.35.57   | D0CEAA3FE9DB9F9B160940D382B660A2B12D89B7 |
| 2020-05-22 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.197.27  | FAAAD4B55963937B4118860A61BC9426C105D2DF |
| 2020-05-25 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.37.110  | B9DA8784541E87F9E494A78B6A49FE4443B31142 |
| 2020-05-25 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.170.43  | DB510A5927CF7667AC3650209E00CB0DB7A12F9C |
| 2020-05-25 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.53.21     | A18CD278493BB18BEFD8AB54A669BFF6BB73B9CB |
| 2020-05-25 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 50.116.46.214   | B9C1484B549CFE20B4147C819DC510D83B1EA513 |
| 2020-05-25 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 104.237.152.245 | C0C3CBD893296CBA045B61104F765699158FB39E |
| 2020-05-25 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.116.135 | 06F9E86930823CA86541DDFEB9827A22B9A7A4AD |
| 2020-05-25 20:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.207.42  | 76678E6D3663BBC4DD7AE5B3F794066C1E022AA1 |
| 2020-05-26 16:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.42.115  | 386161B667D9EA6D86EEDDD397405F448F8D530E |
| 2020-05-26 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.33.29.76     | 4A36774094E3C92C57D22E589063E39481A17EDC |
| 2020-05-26 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.183.244 | 908D9BA8BAD0A1BE77C6937357ADB595EE51F7FD |
| 2020-05-26 17:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 172.105.24.182  | B96F74F557DC93DB41C72DBA77DEC0B41462709C |
| 2020-05-26 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.33.51.71     | FDB4D0BBF9111D98453CBB8E38D6A876E0F3A5FA |
| 2020-05-26 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 139.162.2.231   | 1B786EA18DF3D7F1AC93F80FA7F88978048DD8B4 |
| 2020-05-26 19:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 97.107.138.162  | F1A18D7B42B896DE9D89604C610026A3B01A8A00 |
| 2020-06-02 01:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |     8443 | Cogent Communications | 198.255.112.10  | 070D387230C1B95A05811C5B722FBD21A1076BDB |
| 2020-06-03 00:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | UAB Cherry Servers    | 185.150.117.18  | 463EC48C759132EBF7C1A5BCA3500EA0AC8FF998 |
| 2020-06-03 00:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | UAB Cherry Servers    | 185.150.117.23  | 4D524D243B3D756C566484EB54B14AC43C7CE928 |
| 2020-06-04 06:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | UAB Cherry Servers    | 185.150.117.32  | 91CF21586AEDEA24D5D4177FC8E90B68A5DDE2E6 |
| 2020-06-06 02:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Cogent Communications | 170.75.164.40   | 0388F4E194E2138C30A139A82AA3F5306C456C53 |
| 2020-06-07 03:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | OVH SAS               | 158.69.102.108  | 72A14F21ABD2CF78D0C55A370A8A57E604E300EE |
| 2020-06-07 18:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | UAB Cherry Servers    | 185.150.117.46  | F8703BCB4FD2BBD1E4F93538B802A09AA3392E6B |
| 2020-06-08 23:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Cogent Communications | 172.81.182.170  | F697E816D82A3621D07CBD1DD3C89B6F7CC5E6A2 |
| 2020-06-09 00:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | OVH SAS               | 149.56.200.22   | F0364DBC2E4221405354433B65503E816D887C01 |
| 2020-06-09 12:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | UAB Cherry Servers    | 185.150.117.45  | A6279DA3323160956E3B465B159F5A061420A118 |
| 2020-06-11 08:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | NULL                  | 172.105.171.141 | 633438EF874878F75970392990596D3075124706 |
| 2020-06-11 08:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |        0 | Linode, LLC           | 45.79.126.76    | 8E14C22192BB479640038D8C1BF20DCBD064E1A5 |
| 2020-06-12 00:00:00 | NULL    | Unnamed  | 0.4.3.5     |     443 |     8443 | Cogent Communications | 23.237.34.138   | BA99774FEF716556E37EF340820FC358F2A84B04 |
