
# This file contains one likely family per line (definied by tor relay fingerprints, separated by ',')

+---------------------+----------+----------------------+---------+-----------------+---------+----------+-------------+---------+---------+
| first_seen          | nickname | as_name              | country | IP              | or_port | dir_port | tor_version | contact | efamily |
#| 2014-09-02 22:00:00 | Voxility S.R.L.        | ro   | 109.163.234.5  |     443 |       80 | 0.2.6.7           | Linux | Torservers.net <support .AT. torser | hessel2        |    1 |   16 |
#| 2014-11-27 00:00:00 | NFOrce Entertainment B | nl   | 77.247.181.162 |     443 |       80 | 0.2.6.2-alpha     | Linux | Torservers.net <support .AT. torser | sofia          |    1 |   19 |
#| 2014-11-27 00:00:00 | NFOrce Entertainment B | nl   | 77.247.181.166 |     443 |       80 | 0.2.6.2-alpha     | Linux | Torservers.net <support .AT. torser | alf            |    1 |   19 |
#| 2014-11-27 00:00:00 | NFOrce Entertainment B | nl   | 77.247.181.164 |     443 |       80 | 0.2.6.2-alpha     | Linux | Torservers.net <support .AT. torser | HaveHeart      |    1 |   19 |
#| 2014-12-23 01:00:00 | QuadraNet, Inc         | us   | 96.44.189.101  |      80 |     NULL | 0.2.7.1-alpha-dev | Linux | Torservers.net <support .AT. torser | kingara        |    1 |   16 |
#| 2014-12-23 01:00:00 | QuadraNet, Inc         | us   | 96.44.189.102  |      80 |     NULL | 0.2.7.1-alpha-dev | Linux | Torservers.net <support .AT. torser | ivpn           |    1 |   16 |
#| 2014-12-23 01:00:00 | QuadraNet, Inc         | us   | 96.44.189.100  |     443 |       80 | 0.2.7.1-alpha-dev | Linux | Torservers.net <support .AT. torser | mendes         |    1 |   16 |
#| 2015-07-05 02:00:00 | QuadraNet, Inc         | us   | 96.47.226.20   |     443 |     NULL | 0.2.6.9           | Linux | Torservers.net <support .AT. torser | dorrisdeebrown |    1 | NULL |
#+---------------------+------------------------+------+----------------+---------+----------+-------------------+-------+-------------------------------------+----------------+------+------+
#fingerprints:
4A0C3E177AF684581EF780981AEAF51A98A6B5CF,0FCF071AC02CC433EFA82D0E60878117BBDE26ED,7BB160A8F54BD74F3DA5F2CE701E8772B841859D,C46524E586E1B997329703D356C07EE12B28C722,488239E03C4FBC22BA7C5EC76178C4E683A21B0D,6B1E001929AF4DDBB747D02EC28340792B7724A6,5714542DCBEE1DD9864824723638FD44B2122CEA,73834871A46790E65D6966131522DA7E2AD84DB1,06E123865C590189B3181114F23F0F13A7BC0E69,B4F883DB3D478C7AE569C9F6CB766FD58650DC6A,5C84C35936B7100B949AC75764EEF1352550550B,10E13E340651D0EF66B4DEBF610B3C0981168107,20B0038D7A2FD73C696922551B8344CB0893D1F8,78213EC898E96E919D19EB9F0F85A59C3DD00D0C,770BE0CDAF2B3C5F3517B72E41B0A6B5D89D8017,4E021F36F95EDD4F93F824020E3C5BFEA7B595CC,91E23CFBFA76645ECD092D9E34B5B966C12287B0,F657ACB301CBAB4283F9CEC6D82ABE2FA62A398A,01385FC8399D0DC894DD3769AC08C82181B11F22,374D731BB11F69F87589AAB9CFA4B334C399001F,64D500C4D7F989ECD74B42ABB068818EF95525F3,9670D1C33838B99340CA8A4CD408DE210F83F68A

