(onionoo data from 2015-05-19 23:00:00)

+---------------------+------+------+-------------------------------------+-----------------------+-----------------+---------------------+------------------------------------------+
| first_seen          | orp  | dirp | as_name                             | platform              | IP              | nickname            | fingerprint                              |
| 2014-12-22 23:00:00 | 9004 | 9033 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 198.58.106.245  | HackerOfPhysics     | A38746434632545C2E1D979A57A486262F1E1223 |
| 2014-12-22 23:00:00 | 9004 | 9033 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 173.230.131.207 | DanalFrequent       | B9B5494701486D323436F489D4ED461295AFBB99 |
| 2014-12-22 23:00:00 | 9005 | 9034 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 96.126.110.60   | FluffyPlumber       | 77B5B67E2F1315146845963055840A9A465472E4 |
| 2014-12-22 23:00:00 | 9005 | 9034 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 198.58.107.52   | GapingIntrusion     | D3FD8925D079934E8DD03D2C4BAD6062DA5C89E6 |
| 2014-12-22 23:00:00 | 9005 | 9034 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 192.155.95.122  | MightyMercury       | 4F7C01564E56ADB3761D1C49DA3E96BEA8C70D24 |
| 2014-12-22 23:00:00 | 9006 | 9035 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 96.126.110.60   | SwellingAmbience    | 15EF4BD0C6E307C3EA5B995D253D82D62E7565A0 |
| 2014-12-22 23:00:00 | 9006 | 9035 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 198.58.107.52   | PathogenSidekick    | 22CE2319419476A2E34195EA78C007C306927D1A |
| 2014-12-22 23:00:00 | 9006 | 9035 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 192.155.95.122  | ProactiveBox        | 5B0313E85EA9D5FA7237976562E02D4EA4195DC1 |
| 2014-12-22 23:00:00 | 9007 | 9036 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 50.116.50.12    | BurritoOfTuba       | 6B29A86C3BFA4F31B074BE20E4159064B0967AD8 |
| 2014-12-22 23:00:00 | 9007 | 9036 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.200.16.86   | LavenderSouth       | 67A233BEA4EE582222DFE12FB187D77141882A90 |
| 2014-12-22 23:00:00 | 9007 | 9036 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 23.239.19.120   | LimpyPurse          | 1179140DF38E5906A0888DF09E5A93BA34527099 |
| 2014-12-22 23:00:00 | 9008 | 9037 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 23.239.19.120   | AlongProxy          | F50B413E4EC2AAA60FED61CD2497E0495A49732A |
| 2014-12-22 23:00:00 | 9008 | 9037 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.200.16.86   | FuzzyPharoah        | 226EADA86BEE49E16C02C53E7CB929CA9078213B |
| 2014-12-22 23:00:00 | 9008 | 9037 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 50.116.50.12    | OriginOutRunaway    | B814B2B40681E3D0AE210738599B3FEEB11A96BC |
| 2014-12-22 23:00:00 | 9009 | 9038 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 66.175.211.242  | VoyeurQuartz        | C43B1086D94970A15EA8F9F43C6F6AF31D419F12 |
| 2014-12-22 23:00:00 | 9009 | 9038 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 23.239.19.153   | IrateConcept        | BB3714646D2E8FCF193F4FDFBDB1D7F4695ABF87 |
| 2014-12-22 23:00:00 | 9009 | 9038 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.129.142 | HerdOfOffense       | 6539782373C0FE1DC6A7AAA4AA73973C8A599C58 |
| 2014-12-22 23:00:00 | 9010 | 9039 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 66.175.211.242  | PricedDisguise      | 6BCFA665FE530557AB9EFC3C783E803C583545C6 |
| 2014-12-22 23:00:00 | 9010 | 9039 | Global Net Access, LLC              | Tor 0.2.4.24 on Linux | 23.239.19.153   | ObnoxiousLiar       | FA05F3365511A80B3CF0BFA5552D325105C498B3 |
| 2014-12-22 23:00:00 | 9010 | 9039 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.129.142 | SexualBinge         | F154BF787DF57D19D08E80AE7791F5FC68634413 |
| 2014-12-23 00:00:00 | 9001 | 9030 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 23.239.29.65    | blahrelayblah       | 2AE62CB25E9B6FCB0FEDE2208D6BF887F084C732 |
| 2014-12-23 00:00:00 | 9001 | 9030 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 50.116.29.54    | ChromeAutopsy       | E402134E026B88937CB2509D95CBB16562E78649 |
| 2014-12-23 00:00:00 | 9002 | 9031 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 23.239.29.65    | blahrelayblah2      | 5CE1048786FB1D346935BA987AA072D7EF18D08A |
| 2014-12-23 00:00:00 | 9004 | 9033 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.128.84  | SecureExorcism      | 58ED9A44B619DE451088D7462985E808EE786C96 |
| 2014-12-23 00:00:00 | 9006 | 9035 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.129.78  | ClassroomRealm      | 5C07E012BA802EC533B61E90C59E1E2FC09A9C77 |
| 2014-12-23 00:00:00 | 9007 | 9036 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.131.107 | LiberalWhisper      | D5BDDB00A201440CF8A90510D114CC054884662D |
| 2014-12-23 00:00:00 | 9008 | 9037 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.131.107 | PhotoFearTheOutlaw  | E6A88172855600DC913EE9C95031F99BD1FE61A7 |
| 2014-12-23 00:00:00 | 9009 | 9038 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.134.102 | RepublicanCrib      | 6AFA3C688A6E52CFB64E1484C8B7C00E749CC45D |
| 2014-12-23 00:00:00 | 9010 | 9039 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.134.102 | ReverentVan         | 7AE0AE7CD58C9DCF7F7CBDC38FF11D7EF87CB84B |
| 2014-12-23 08:00:00 | 9002 | 9031 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.187.94.69   | ThrashingCobra      | 92BFD9047E18C71D3A1309A2540D5B94D913898A |
| 2014-12-23 08:00:00 | 9003 | 9032 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.157.36   | ForumAnimator       | 0473E3701C9EA2F8367DBAB453B6DC4EE78DEE1B |
| 2014-12-23 08:00:00 | 9004 | 9033 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.185.31.129  | RumpFrolic          | 5C7125BA775FC029EF4E3D7D63B3FD4C722AC7D1 |
| 2014-12-23 08:00:00 | 9006 | 9035 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.185.36.183  | LanceHumor          | A1975506CD8DAD1124DD438AE988DE7673B956FA |
| 2014-12-23 08:00:00 | 9008 | 9037 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.185.39.58   | EstrangedAir        | FD8BA4384B1818BE9EC72F1E2C39AC5CE57423A8 |
| 2014-12-23 21:00:00 | 9001 | 9030 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.142.224  | AnarchyFlashing     | C96F90290C5D76C3A75F31A7BB975A873C4D1281 |
| 2015-01-28 09:00:00 | 9003 | 9032 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 198.58.109.82   | FairSharp           | 11D12A7483B0B489125F6C02A37143615C56C8D0 |
| 2015-01-28 10:00:00 | 9001 | 9030 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 198.58.103.147  | GarlicPriest        | C1B1B6A8A0C38DA559474F557B452E233A761D52 |
| 2015-01-28 10:00:00 | 9002 | 9031 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 198.58.103.147  | LoopyAfternoon      | F1D3AD0C01D26AD8A20BA21CE10DBB1EA79C961F |
| 2015-01-28 10:00:00 | 9005 | 9034 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.200.18.182  | CinematicPlunger    | 7A4A4E904E5CD1F10BC5D041338990A24B754A1B |
| 2015-01-28 10:00:00 | 9006 | 9035 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.200.18.182  | UndefeatedAlloy     | 8FD118DF563B539EB861EE87E1D1FC5BA503C1A0 |
| 2015-01-28 10:00:00 | 9007 | 9036 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.129.52  | DidacticTerrorism   | 0E94901791F6472ECFB698127E068049F23D312E |
| 2015-01-28 10:00:00 | 9008 | 9037 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.129.52  | CrapMage            | 6643BB5ADB5679BE70F8682BDA73782693620D8E |
| 2015-01-28 10:00:00 | 9009 | 9038 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.131.75  | NebulaScript        | FF83497F3F7E5FFF8E51A845938F56F6D2F87684 |
| 2015-01-28 10:00:00 | 9010 | 9039 | SoftLayer Technologies Inc.         | Tor 0.2.4.24 on Linux | 104.237.131.75  | DerelictWhale       | 65BDFCF95D1A637B355A156A90AACDF246A4D102 |
+---------------------+------+------+-------------------------------------+-----------------------+-----------------+---------------------+------------------------------------------+
