+------------+-----------------+-----+------+----------+----------+------+--------------------------------------+---------+
| joined     | IP              | orp | dirp | torv     | nickname | cc   | asn                                  | running |
| 2015-03-22 | 78.96.144.158   | 443 | 9030 | 0.2.4.23 | default  | ro   | Liberty Global Operations B.V.       |       0 |
| 2015-03-21 | 73.159.171.137  | 443 | 9030 | 0.2.4.23 | default  | us   | Comcast Cable Communications, Inc.   |       0 |
| 2015-03-19 | 88.153.212.151  | 443 | 9030 | 0.2.4.23 | default  | de   | Liberty Global Operations B.V.       |       0 |
| 2015-03-19 | 93.219.66.132   | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       1 |
| 2015-03-18 | 84.219.226.78   | 443 | 9030 | 0.2.4.23 | default  | se   | Telenor Norge AS                     |       1 |
| 2015-03-17 | 86.56.102.70    | 443 | 9030 | 0.2.4.23 | default  | de   | Tele Columbus AG                     |       0 |
| 2015-03-17 | 92.236.113.21   | 443 | 9030 | 0.2.4.23 | default  | gb   | Virgin Media Limited                 |       0 |
| 2015-03-15 | 109.26.8.175    | 443 | 9030 | 0.2.4.23 | default  | fr   | Societe Francaise du Radiotelephone  |       1 |
| 2015-03-15 | 88.117.18.114   | 443 | 9030 | 0.2.4.23 | default  | at   | A1 Telekom Austria AG                |       0 |
| 2015-03-14 | 79.98.88.152    | 443 | 9030 | 0.2.4.23 | default  | ru   | Net By Net Holding LLC               |       1 |
| 2015-03-11 | 109.226.142.154 | 443 | 9030 | 0.2.4.23 | default  | de   | TELTA Citynetz GmbH                  |       0 |
| 2015-03-11 | 217.50.247.137  | 443 | 9030 | 0.2.4.23 | default  | de   | Telefonica Germany GmbH & Co.OHG     |       0 |
| 2015-03-10 | 195.14.202.111  | 443 | 9030 | 0.2.4.23 | default  | de   | NetCologne GmbH                      |       0 |
