CW   adv_mbps GuardP MiddleP ExitP     Family ID                                 Name
--------------------------------------------------------------------------------------------------------
2.4023% 2061 0.0000% 0.0000% 7.8937%   5C1E076A17578A8D734F977D53D28D409D546773  TvdW.eu
0.0152% 17  0.0265% 0.0171% 0.0000%   F0A97AAF092015293EC63D7E75D9C2B70B7C360B
0.0150% 39  0.0248% 0.0184% 0.0000%   CBE48B806A0FAA8D7496EB4EFDBFCDBAE0E839B8
0.0150% 33  0.0236% 0.0197% 0.0000%   7D436AD765339FA581D190911EC1E60E8DA63634
0.0146% 45  0.0000% 0.0000% 0.0480%   383D6E34D9BEA92E97092B134A708EEF476DF2E4
0.0144% 32  0.0226% 0.0189% 0.0000%   EC1F5CD73506F631A79046DB09A4164D21FC4908
0.0139% 54  0.0000% 0.0400% 0.0000%   B5B92286D7C042DE85CF8D500F095A0BD8775990
0.0138% 29  0.0000% 0.0395% 0.0000%   486740353B905AA4731F82C0B4CC25821A62C6E3
0.0134% 27  0.0000% 0.0002% 0.0437%   FE32CAC855ABC707ED7FEDAF720046FE914EB491
0.0133% 54  0.0093% 0.0291% 0.0000%   2D3115D0C24E5B63D7FEB20379179D6F38A25BF6
0.0131% 32  0.0233% 0.0144% 0.0000%   25022686C838259287E5B93884AFCB9A11C61CE3
0.0131% 20  0.0000% 0.0378% 0.0000%   3B50CF566B45E0BCC47FE90DE0A7103AF00C1B67
0.0130% 20  0.0186% 0.0188% 0.0000%   CCA1BE38F343CF1E1B4BB1857A786957B056DC0F
0.0126% 24  0.0000% 0.0361% 0.0000%   693F83EB6743EC4DFAC1A98BBA7F887EAC9103D1
0.0125% 39  0.0000% 0.0360% 0.0000%   EBC5DD2E2D3208A6489C7A8675016564BCE67DE9
0.0123% 26  0.0000% 0.0300% 0.0060%   D237F899CAE540168994AC688E1CBE4092E8F5E7
0.0118% 45  0.0093% 0.0058% 0.0216%   506763994792208999529D03C016774C814386A8
0.0118% 25  0.0173% 0.0165% 0.0000%   DA379D7B0CD1F7CF2FB3F0AC64B54150E784BF5B
0.0111% 25  0.0000% 0.0318% 0.0000%   0CFC47351FF8BBDF3BE7A4895FCC0FB499014216
0.0109% 31  0.0143% 0.0169% 0.0000%   071E3A54AD2D764B7D4EF64FA5E36D62BDBF644A
0.0109% 24  0.0000% 0.0313% 0.0000%   18637CF09B782DD9549C0F24E85B84DF48BBC17D
0.0109% 23  0.0126% 0.0186% 0.0000%   B19D864A6421D8D0AEC13B2AFAA592943E2C88E4
0.0108% 22  0.0000% 0.0311% 0.0000%   DB7CCCC98CD90724F4E7FEB8D5935B61EDBC4296
0.0101% 31  0.0168% 0.0122% 0.0000%   75DA5CC8D35C3120F5DD39CC45375713E03F4C6E
0.0099% 20  0.0000% 0.0284% 0.0000%   868A253C330F40FBE435D9320849397F85823E86
0.0093% 16  0.0163% 0.0103% 0.0000%   10F7F8FE7871E00ED68B727C8CCAC45E2C8E4973
0.0091% 16  0.0000% 0.0262% 0.0000%   969539FD3F5E6B31D5D7699578E285383E12D060
0.0090% 15  0.0000% 0.0115% 0.0164%   D9BB75C2D0A13EF7903C184061FFDC22FA95E3CD
